Objective Value: -0.291915
Variable Values:
EX_val_L_e: 0
NADH10: 0
ADK4: 0
INSK: 0
MDH: 0.58383
ABTA: 0
EX_xan_e: 0
FUM: 0.58383
FMNAT: 0
PYDXNK: 0
PYAM5PO: 0
SSALx: 0
ASPT: 0
OHPBAT: 0
SERD_L: -5.86503e-14
EX_dgsn_e: 0
NADDP: 0
EX_arab_L_e: 0
EX_fru_e: 0
THRD: 0
HEX4: 0
EX_gal_e: 0
NMNAT: -6.66399e-14
EX_xyl_D_e: 0
KARA1: 0
HMPK1: 0
KARA2: 0
EX_duri_e: 0
EX_for_e: 0
EX_gly_e: 0
EX_h2_e: 0
EX_lys_L_e: 0
ACCOAC: 0
NADK: 0
GLXCL: 0
ICHORS_copy2: 0
SUCBZS: 0
DHBD: 0
ICHORT: 0
EX_ser_L_e: 0
EX_thm_e: 0
EX_trp_L_e: 0
GLUTRR: 0
GLCS1: 0
GLCP: 0
EX_din_e: 0
RBK_L1: 0
RBP4E: 0
TARTD: 0
NTD2: 0
GLCRAL: 0
NTD4: 0
NTD5: 0
EX_fmn_e: 0
EX_gthox_e: 0
KAS14: 0
HEMEOS: 0
ADMDC: 0
AGMT: 0
NTD6: 0
LGTHL: 0
PYDXPP: 0
PDXPP: 0
ARGDC: 0
HACD6: 4.54747e-13
ECOAH1: 3.41061e-13
ECOAH2: 3.41061e-13
ARGSS: 0
AGPR: 0
SPMS: 0
G1SAT: 0
KDOCT2: 0
ECOAH3: 3.41061e-13
UGLT: 0
EDTXS1: 0
DXPS: 0
OAADC: 0
MNNH: 0
CDPMEK: 0
EDTXS2: 0
ALTRH: 0
MECDPS: 0
GUI1: 0
EDTXS3: 0
PGAMT: 0
DDGLK: 0
EDTXS4: 0
XYLI2: 0
PMANM: 0
ICL: 0
UAGDP: 0
UAGCVT: 0
GLUR: 0
EX_tmao_e: 0
UAG2E: 0
EX_acald_e: 0
GLYCL: 0
CMPN: 0
NNDPR: -6.66399e-14
HCYSMT: 0
EX_melib_e: 0
MACPD: -3.18323e-12
DMQMT: 0
UDPG4E: 0
LACZ: 0
TRE6PH: 0
XYLI1: 0
PPC: 6.41926e-13
ICHORS_copy1: 0
EX_sucr_e: 0
ALDD4: 0
HACD4: 3.41061e-13
G3PT: 0
CINNDO: 0
DHPPD: 0
EX_tre_e: 0
EX_zn2_e: 0
HACD5: 5.68434e-13
DHCIND: 0
HACD7: -2.50111e-12
CITL: 0
GOFUCR: 0
PYDXK: 0
DNMPPA: 0
HPPK2: 0
PTPATi: 0
HEX7: 0
DXPRIi: 0
GTPCII2: 0
URIC: -6.84698e-13
SADT2: 0
OPHBDC: 0
AACPS1: 0
OHPHM: 0
GHMT2r: 0
DHORD2: 0
LCARS: 0
ALCD19: 0
RMPA: 0
SBTPD: 0
PFK_2: 0
GLTPD: 0
EX_hdcea_e: 0
ACACCT: 0
SDPDS: 0
BUTCT: 0
TGBPA: 0
MANAO: 0
TAGURr: 0
DMSOR1: 0
PGLYCP: 0
2DGULRx: 0
DKGLCNR2y: 0
G1PTT: 0
TDPGDH: 0
ADCS: 0
ADCL: 0
2DGULRy: 0
DHAPT: 0.291915
EX_lac_D_e: 0
UDPGALM: 0
TDPDRE: 0
TDPDRR: 0
UMPK: 0
RZ5PP: 0
DDPGALA: 0
DURIK1: 0
G3PD6: 0
ALLTN: -6.84698e-13
UAPGR: 0
UPPRT: 0
NTD9: 0
CTPS2: 0
NTD1: 0
NTD7: 0
PAPPT3: 0
UAGPT3: 0
NDPK7: 0
AOBUTDs: 0
GLYAT: 7.50333e-12
ADNUC: 0
GMHEPPA: 0
S7PI: 0
TRPS3: 0
EX_ttdcea_e: 0
F6PA: 0.291915
AGMHE: 0
CRNBTCT: 0
CRNCBCT: 0
NTD10: -6.84698e-13
CRNCDH: 0
GMHEPAT: 0
EX_h2s_e: 0
ADPT: 0
EX_gthrd_e: 0
IDOND: 5.68434e-13
IDOND2: 0
FADRx: 0
GTPDPK: 0
NADN: 0
GLYCLTDx: 0
ADK1: 1000
NDPK2: 0
NDPK3: -1.47793e-12
HPYRRy: 0.58383
NDPK4: 0
ACODA: 0
ADA: 0
DADA: 0
ADD: 0
FCLT: 0
HBZOPT: 0
PNTK: 0
ADSS: 6.84698e-13
AGDC: 0
OCTDPS: 0
ASNN: 0
DPCOAK: 0
HETZK: 0
ASNS2: 0
ASPCT: 0
KDOPS: 0
KDOPP: 0
DMPPS: 0
EX_26dap_M_e: 0
MCOATA: 0
IPDPS: 0
AST: 0
SGDS: 0
CYNTAH: 0
DAPE: 0
DHDPRy: 0
EX_acnam_e: 0
HSK: 0
SDPTA: 0
GSPMDA: 0
GSPMDS: 0
GUAD: 0
THRS: 0
EX_amp_e: 0
HSST: 0
PPNDH: 0
TMAOR1: 0
TMAOR2: 0
DGK1: 0
DTMPK: 0
NDPK1: -1000
TRDR: 0
DDPA: 0
NMNDA: 6.66399e-14
NNAM: 0
P5CD: 0
PGMT: 0
FRUK: 0
SPMDAT1: 0
RHCCE: 0
EX_dha_e: 0
KG6PDC: 0
SPMDAT2: 0
TDPADGAT: 0
MALS: -6.97311e-13
X5PL3E: 0
DOGULNR: 0
TRE6PP: 0
EX_fuc_L_e: 0
EX_met_D_e: 0
EX_tartr_L_e: 0
BETALDHx: 0
BETALDHy: 0
MLTG3: 0
EX_taur_e: 0
EX_maltpt_e: 0
EX_glyald_e: 0
EX_glcur_e: 0
ADPRDP: 0
DKGLCNR1: 0
NADTRHD: 0
AACPS2: 0
FMNRx2: 0
ACPS1: 0
EX_nmn_e: 0
EX_urea_e: 0
ARAI: 0
M1PD: 0
G3PD2: -1.13687e-13
GALS3: 0
FCI: 0
FCLK: 0
FCLPA: 0
GMPS2: 0
AMPN: 0
GSNK: 0
ACCOAL: 999.416
GALUi: 0
AACPS3: 0
U23GAAT: 0
EX_f6p_e: 0
UAAGDS: 0
AACPS4: -3.06593e-12
UAMAS: 0
UAMAGS: 0
UGLYCH: -4.16e-13
NTPP3: 0
NTPP6: 0
NTPP7: 0
OP4ENH: 0
EX_rmn_e: 0
HOPNTAL: 0
NTPP8: 0
P5CR: 0
CYANST: 0
EX_ttdca_e: 0
DHPPDA2: 0
3HPPPNH: 0
G5SADs: 0
GMAND: 0
PPCSCT: 999.416
CYTD: 0
AKGDH: 0.58383
HPYRRx: 0
GLYCDx: 0
ASP1DC: 0
UGMDDS: 0
DCYTD: 0
DBTS: 0
DCTPD: 0
UHGADA: 0
AMANK: 0
UAGAAT: 0
ATPPRT: 0
HISTD: 0
DHDPS: 0
G1PACT: 0
GART: 0
CSND: 0
GF6PTA: 0
IGPDH: 0
EX_glyclt_e: 0
PRPPS: 0
H2SO: 0
GLUCYS: 0
PRATPP: 0
GLUN: 0
PRMICI: 0
GLUPRT: 0
EX_g6p_e: 0
GMPR: 0
SERAT: 0
CYSS: 0
NADS1: 0
BPNT: 0
EX_2ddglcn_e: 0
PAPSR: 0
ASPK: 0
ASAD: 0
DAPDC: 0
EX_mmet_e: 0
NTRIR2x: 0
OCBT: 0
GARFT: 0
GPDDA1: 0
GPDDA2: 0
PHETA1: 0
PPND: 0
METAT: 0
ASCBPL: 0
ACBIPGT: 0
TRPS1: 0
PRAMPC: 0
ADOCBLS: 0
EX_galct_D_e: 0
ADOCBIK: 0
TMPK: 0
HPPPNDO: 0
MCITL2: 0
DXYLK: 0
MDH3: 0
SOTA: 0
DHCINDO: 0
SGSAD: 0
HKNDDH: 0
EX_idon_L_e: 0
HKNTDH: 0
GLYCK2: 0
PTA2: 0
MDH2: 0
EX_indole_e: 0
ACOTA: 0
GPDDA5: 0
PDX5PS: 0
PPBNGS: 0
ENTCS: 0
SULR: 0
MANPGH: 0
URDGLYCD: -2.68698e-13
CBMKr: 2.27374e-13
PPNCL2: 0
PRAGSr: 0
PRFGS: 0
AMANAPEr: 0
EX_3hcinnm_e: 0
ACM6PH: 0
NNATr: 0
CYTDH: 0
EX_acac_e: 0
ETHAAL: 0
MAN1PT2: 0
PSERT: 0
AP4AH: 0
EX_acmana_e: 0
AP5AH: 0
ADNCYC: 0
AIRC2: 0
GAPD: 0.58383
MI1PP: 0
EX_galur_e: 0
MCITS: 0
PPAKr: 0
HEX1: 0
GND: 3.41061e-13
TAUDO: 0
DM_amob_c: 0
NTP3: 0
PPM2: 0
MOAT2: 0
EX_adn_e: 0
EX_ins_e: 0
G6PDH2r: 3.41061e-13
ME2: 0
ARGSL: 0
CBPS: 0
GLU5K: 0
IPPS: 0
EX_mg2_e: 0
ACOATA: 3.18323e-12
NADH5: 0
MOHMT: 0
EX_glyc3p_e: 0
MLTG2: 0
EX_but_e: 0
MLTG1: 0
AMALT3: 0
MLTP3: 0
EX_lcts_e: 0
EX_ocdca_e: 0
EX_cbl1_e: 0
SPODM: 1.92646e-14
AHCYSNS: 0
ACNML: 0
TMK: 0
NTPP4: 0
GMPS: 0
CAT: 0
FTHFLi: 0
EX_nac_e: 0
UDPGD: 0
SERASr: 0
GLCRD: 0
PPPNDO: 0
26DAHtex: 0
HCINNMtex: 0
HPPPNtex: 0
ACtex: 0
ACALDtex: 0
CHRPL: 0
TDPAGTA: 0
UACMAMO: 0
FBA3: 0
PMPK: 0
LCADi: 0
ACMANAtex: 0
ACMUMtex: 0
ACACT7r: -2.50111e-12
PSP_L: 0
ADK3: -1000
GLUDC: 0
ACACT2r: 3.41061e-13
BSORy: 0
DMSOR2: 0
ADSK: 0
ACACT3r: 3.41061e-13
ACACT4r: 3.41061e-13
SUCCt2_2pp: 0
SUCFUMtpp: 1000
HSDy: 0
CYSTL: 0
ACMAMUT: 0
SHSL1: 0
SSALy: 0
SUCptspp: 0
SULabcpp: 0
TSULabcpp: 0
TARTRt7pp: 0
EX_dad_2_e: 0
EX_ser_D_e: 0
DDGALK: 0
EX_gam6p_e: 0
EX_15dap_e: 0
AB6PGH: 0
EX_ocdcea_e: 0
EX_cynt_e: 0
EX_galctn_D_e: 0
AMALT1: 0
EX_glyb_e: 0
AHGDx: 0
MLTP2: 0
TAURabcpp: 0
THMDt2pp_copy1: 1000
3HCINNMH: 0
BSORx: 0
PACCOAL: 0
NMNt7pp: 0
EX_ca2_e: 0
EX_so3_e: 0
GLUtex: 0
Kt2pp: 0
GLYtex: 0
GP4GH: 0
GLYALDtex: 0
AKGt2rpp: 0
ACGAMT: 0
XYLt2pp: 0
EX_ascb_L_e: 0
GLYBtex: 0
GLYCtex: 0
GLYC3Ptex: 0
GLYCLTtex: 0
GTPtex: 0
GUAtex: 0
Htex: 1000
EX_ala_B_e: 0
EX_agm_e: 0
EX_minohp_e: 0
EX_ppt_e: 0
EX_hxa_e: 0
H2tex: 0
H2Otex: -501.751
AADDGT: 0
FACOAL160t2pp: -1.94539e-13
FACOAL180t2pp: 2.97345e-16
SPODMpp: 0
EX_lyx_L_e: 0
EX_acmum_e: 0
EX_dca_e: 0
EX_all_D_e: 0
NO3R1bpp: 0
O2tpp: 1.75149
EX_octa_e: 0
PHYTSpp: 0
EX_gbbtn_e: 0
PPTHpp: 0
PYRt2rpp: 0
NO3R2pp: -6.26872e-14
EX_xylu_L_e: 0
EX_gdp_e: 0
EX_gtp_e: 0
NTP3pp: 0
NO3R2bpp: 0
THMabcpp: 0
THMDt2pp_copy2: -1000
THRabcpp: 0
TREptspp: 0
THD2pp: 0
TMAOR1pp: 0
TMAOR2pp: 0
XANtpp: 2.27374e-13
DAPtex: 0
TRPt2rpp: 0
TYRt2rpp: 0
EX_tma_e: 0
URIt2pp_copy1: 1000
URIt2pp_copy2: -1000
VALabcpp: 0
12PPDStex: 0
DDGLCNtex: 0
XTSNt2rpp: 0
XYLabcpp: 0
GMHEPK: 0
XYLUt2pp: 0
THRt4pp: 0
GALURtex: 0
GTPCI: 0
FDMO: 0
FEOXAMabcpp: 0
EX_fruur_e: 0
GALtex: 0
CBL1abcpp: 0
EX_malttr_e: 0
ACACt2pp: 0
ACGAptspp: 0
ACMANAptspp: 0
ACNAMt2pp: 0
GALCTtex: 0
GALCTNtex: 0
GALTtex: 0
EX_cbi_e: 0
CHOLD: 0
TRE6PS: 0
DRPA: 0
TKT2: 7.95808e-13
EX_arbtn_fe3_e: 0
UDCPDP: 0
EX_cpgn_e: 0
EX_ch4_e: 0
FEENTERabcpp: 0
EX_adocbl_e: 0
FECRMabcpp: 0
TREH: 0
GAMtex: 0
GBBTNtex: 0
ATPS4rpp: 5.69234
INDOLEtex: 0
ARBt2rpp: 0
CYTK1: -1.47793e-12
DAPabcpp: 0
L_LACtex: 0
ACt4pp: 1000
ADEt2rpp: 0
CO2tpp: -1.75149
DHAtpp: 0
DMSOR1pp: 0
ARGabcpp: 0
ADNt2pp_copy1: 1000
ADNt2pp_copy2: -1000
ALAabcpp: 0
ALLabcpp: 0
ALLTNt2rpp: 0
ARBabcpp: 0
ARGAGMt7pp: 0
ASCBptspp: 0
CYTK2: 0
ASNt2rpp: 0
ASPabcpp: 0
ASPt2pp: 0
ECOAH8: 3.41061e-13
GLCDpp: 0
GUAtpp: 0
ASPt2_2pp: 0
HYD2pp: 0
GK1: 0
HYXNtpp: 0
NACtpp: 0
ASPt2_3pp: 0
HIStex: 0
FE3DCITabcpp: 0
HXAtex: -1.13687e-13
HACD1: 3.41061e-13
HYXNtex: 0
IDONtex: 0
ILEtex: 0
INSTtex: 0
INStex: 0
Ktex: 0
CPGNtonex: 0
GLCRtex: 0
GLCNtex: 0
GLCURtex: 0
GLNtex: 0
O2tex: 251.751
EX_ppa_e: 0
HACD2: 3.41061e-13
OCTAtex: 0
D_LACtex: 0
NTD8pp: 0
ORNtex: 0
FRULYStex: 0
MALTtexi: 0
ECOAH5: 5.68434e-13
DHFS: 0
CITt7pp: 0
CRNt7pp: 0
EX_ni2_e: 0
GLCtex_copy1: 1000
EX_no_e: 0
CHLabcpp: 0
DGSNt2pp: 0
FE3DCITtonex: 0
DINSt2pp: 0
DURIt2pp: 0
FE2abcpp: 0
FRUptspp: 0
FUCtpp: 0
EX_fad_e: 0
GALCTt2rpp: 0
GALt2pp: 0
ASPtex: 0
ABUTt2pp: 0
FUMt2_2pp: 0
FUMt2_3pp: 0
PHEtex: 0
FEENTERtonex: 0
CSNt2pp: 0
CYNTt2pp: 0
CYSabcpp: 0
SBTptspp: 0
PItex: 1.7053e-12
TREHpp: 0
CYTBDpp: 0
CYTDt2pp_copy1: 1000
CYTDt2pp_copy2: -1000
DADNt2pp: 0
DCYTt2pp: 0
CYTBD2pp: 0
ACGAMK: 0
ACALDtpp: 0
ACt2rpp: -1000
DDGLCNt2rpp: 0
RMNtex: 0
EX_meoh_e: 0
EX_fe3dcit_e: 0
EX_fe3hox_e: 0
EX_fecrm_e: 0
EX_feenter_e: 0
EX_feoxam_e: 0
MALTTRtexi: 0
MALTTTRtexi: 0
MALTPTtexi: 0
METS: 0
ASPO3: 1.84109e-13
ASPO5: 0
ASPO4: -2.50749e-13
EX_3amp_e: 0
EX_3gmp_e: 0
EX_3ump_e: 0
ASPO6: 0
EX_cu2_e: 0
LCTStex: 0
LEUtex: 0
LYStex: 0
EX_glyc_R_e: 0
EX_eca4colipa_e: 0
GLYOX3: 0
FDMO3: 0
LYXtex: 0
MANtex: 0
MAN6Ptex: 0
FDMO4: 0
CYSabc2pp: 0
BUTSO3abcpp: 0
ETHSO3abcpp: 0
MELIBtex: 0
DMSOtex: 0
DURItex: 0
EX_mal_D_e: 0
FRUtex: 0
FUCtex: 0
EX_sel_e: 0
EX_hg2_e: 0
O16GLCT1: 0
O16AP2pp: 0
O16AP3pp: 0
FUMtex: 0
ACACT5r: 5.68434e-13
O16A4Lpp: 0
PRASCSi: 0
MALTATr: 0
DHBSH: 0
MALDDH: 0
FE2tex: 1000
NMNtex: 0
ENTERES: 0
NO2tex: 0
TRSARr: -0.58383
DHPS2: 0
FEOXAMUtex: 0
ARBTNtpp: 0
MTHFC: 0
ARBTNtex: 0
MTHFD: 0
LYXI: 0
BUTt2rpp: 0
CADVtpp: 0
QULNS: -6.66399e-14
23CAMPtex: 0
23CCMPtex: 0
23CUMPtex: 0
23CGMPtex: 0
3AMPtex: 0
3CMPtex: 0
LADGMDH: 0
ALKP: 0
GDPtex: 0
EX_cobalt2_e: 0
ALAGLUE: 0
FEENTERtpp: 0
TMAtex: 0
EX_pheme_e: 0
TMAOtex: 0
TREtex: 0
L_LACD3: 0
FEENTERtex: 0
FE3HOXUtpp: 0
FEOXAMUtpp: 0
FECRMUtpp: 0
FE3HOXR2: 0
L_LACD2: 0
ACACT6r: 4.54747e-13
TRPtex: 0
PTRCt2pp: 0
GGGABAH: 0
PNTOtex: 0
FRULYSK: 0
FDMO6: 0
TSULtex: 0
TYRtex: 0
URAtex: 0
UREAtex: 0
URItex: 0
SULFACabcpp: 0
ETHSO3tex: 0
BUTSO3tex: 0
LIPOtex: 0
CYANSTpp: 0
VALtex: 0
XANtex: 0
MCPST: 0
XYLtex: 0
PPPNtex: 0
ABUTtex: 0
FORtppi: 2.52435e-29
PHEMEabcpp: 0
METSOX1abcpp: 0
PPTtex: 0
GALBDtex: 0
LIPAHT2ex: 0
DATPHs: 0
GLCTR1: 0
LIPAabcpp: 0
LIPAHTex: 0
LIPACabcpp: 0
ECAP1pp: 0
PTRCtex: 0
UDCPDPpp: 0
GGGABADr: 0
EX_mso3_e: 0
EX_23camp_e: 0
EX_23cgmp_e: 0
EX_23cump_e: 0
ECAP2pp: 0
ECA4OALpp: 0
FE3Ri: -6.3409e-13
FE3HOXR3: 0
FEENTERR1: 0
NODOy: 0
PYRtex: 0
GALM2pp: 0
CU1abcpp: 0
HG2abcpp: 0
FEENTERR3: 0
SULFACtex: 0
EX_sulfac_e: 0
EX_butso3_e: 0
GLCTR3: 0
HEPT4: 0
EX_ethso3_e: 0
DSERtex: 0
LA4NTpp: 0
NODOx: -3.13436e-14
SERtex: 0
NOtex: 0
NOtpp: 0
NHFRBO: 0
N2Otpp: 0
N2Otex: 0
CRNt8pp: 0
CRNt2rpp: 0
CRNDt2rpp: 0
CTBTt2rpp: 0
42A12BOOXpp: 0
TYROXDApp: 0
PACALDt2rpp: 0
PEAMNtex: 0
PACALDtex: 0
LIPOt2pp: 0
AGM4PA: 0
RNDR3b: 0
RNDR4b: 0
ACGAL1Ptex: 0
ACGALtex: 0
GLCUR1Ptex: 0
UDPGLCURtex: 0
UDPGALPpp: 0
UACGAMPpp: 0
UACGALPpp: 0
UGLCURPpp: 0
FEROpp: 250
ISETACabcpp: 0
ISETACtex: 0
GUR1PPpp: 0
UDPGtex: 0
ACGAL1PPpp: 0
UDPGALtex: 0
ACGAM1Ptex: 0
UACGAMtex: 0
UDPACGALtex: 0
AM4PCP: 0
AM3PA: 0
UM4PCP: 0
CBLAT: 0
NTRIR4pp: 0
NTRIR3pp: 0
INOSTt4pp: 0
PHEMEtiex: 0
AGM3PA: 0
CYANtex: 0
SO3tex: 0
TCYNTtex: 0
ACANTHAT: 0
METSOX2abcpp: 0
METSOX1tex: 0
METSOX2tex: 0
3UMPtex: 0
MSO3abcpp: 0
MSO3tex: 0
FECRMR1: 0
FECRMR2: 0
TDP: 0
3PEPTabcpp: 0
4PEPTabcpp: 0
3GMPtex: 0
FALDtpp: 0
EX_tym_e: 0
AGM3Pt2pp: 0
SO4tex: 0
AGM4Pt2pp: 0
AGMt2pp: 0
FECRMexs: 0
ARBTNR1: 0
ARBTNR2: 0
METSOXR1: 0
METSOXR2: 0
DAPAL: 0
AMPTASECG: 0
EX_imp_e: 0
DOPAtex: 0
4HOXPACDtex: 0
ARBTNR3: 0
ARBTNexs: 0
FEOXAMexs: 0
LACZpp: 0
SPMDtex: 0
GPDDA1pp: 0
GPDDA5pp: 0
ETHAtex: 0
G3PStex: 0
FEOXAMR1: 0
FEOXAMR2: 0
FEOXAMR3: 0
PTHRpp: 0
FEENTERR2: 0
FLVR: 0
SUCCtex: 0
FE3HOXR1: 0
FEENTERexs: 0
SUCRtex: 0
FE3HOXexs: 0
FECRMR3: 0
FDMO2: 0
LALGP: 0
AGM4PApp: 0
ARABDI: 0
AGt3: 0
CD2t3pp: 0
ZNabcpp: 0
SKMt2pp: 0
FE2t2pp: 0
GLYC2Ptex: 0
PSERtex: 0
TARTRtex: 0
R5Ptex: 0
THRPtex: 0
TYRPtex: 0
R5PPpp: 0
PSP_Lpp: 0
TYRPpp: 0
R1PK: 0
PAPSR2: 0
GRXR: 0
RNDR1b: 0
R15BPK: 0
Kabcpp: 0
RNDR2b: 0
TAURtex: 0
FACOAE181: 3.41061e-13
FACOAE160: 0
FACOAE140: 0
LEUabcpp: 0
L_LACt2rpp: 0
MALt2_2pp: 0
CPGNR1: 0
CPGNR2: 0
THRtex: 0
CPGNR3: 0
CPGNUtpp: 0
CPGNUtex: 0
MALt2_3pp: 0
MALTabcpp: 0
MALTHXabcpp: 0
MALTPTabcpp: 0
AAMYL: 0
AAMYLpp: 0
MALTTRabcpp: 0
THMDtex: 0
MALTTTRabcpp: 0
MAN6Pt6_2pp: 0
FACOAL80t2pp: 0
PPGPPDP: 0
CPGNabcpp: 0
CPGNexs: 0
MANGLYCptspp: 0
MELIBt2pp: 0
CBIuabcpp: 0
METabcpp: 0
CITtex: 0
ACGAtex: 0
DDCAtexi: 0
TTDCAtexi: 0
HDCAtexi: 0
GUACYC: 0
EX_fe3hox_un_e: 0
GGPTRCS: 0
EX_23dappa_e: 0
RMNtpp: 0
23PDE2pp: 0
23PDE4pp: 0
23PDE9pp: 0
SERt4pp: 0
METDtex: 0
SUCCt2_3pp: 0
MNLptspp: 0
NAt3_1p5pp: 0
ATPHs: 0
SARCOX: 0
GTPHs: 0
MN6PP: 0
NAt3_2pp: 0
NH4tpp: 3.18323e-12
3KGK: 0
METtex: 0
EX_cd2_e: 0
F6PP: 0
NMNPtpp: 0
NO2t2rpp: 1.13687e-13
NO3t7pp: 0
ORNabcpp: 0
PIuabcpp: 0
PNTOt4pp: 0
FRULYSDG: 0
METDabcpp: 0
GDPMNH: 0
FACOAL60t2pp: 0
IDONt2rpp: 0
ILEabcpp: 0
INDOLEt2pp: 0
INSt2pp: 0
PROabcpp: 0
PROt2rpp: 0
MNLtex: 0
PROt4pp: 0
PTRCabcpp: 0
LYXt2pp: 0
GDPDPK: 0
OCDCAtexi: 0
OCDCEAtexi: -3.31646e-13
ASNNpp: 0
GLUNpp: 0
G6Ptex: 0
NTD12: 0
TUNGSabcpp: 0
NAtex: 0
MOBDabcpp: 0
MOBDtex: 0
NI2uabcpp: 0
FECRMtonex: 0
ARBTNtonex: 0
ADOCBLabcpp: 0
EX_enter_e: 0
EX_fecrm_un_e: 0
EX_cgly_e: 0
NI2tex: 0
NTD10pp: 0
NTD1pp: 0
EX_chtbs_e: 0
EX_gmp_e: 0
NTD2pp: 0
NACtex: 0
NTD3pp: 0
NTD4pp: 0
NTD5pp: 0
EX_h2o2_e: 0
EX_ump_e: 0
EX_pydam_e: 0
CRNabcpp: 0
CRNDabcpp: 0
DNTPPA: 0
NTD6pp: 0
NTD7pp: 0
CTBTabcpp: 0
NTD9pp: 0
NH4tex: 3.18323e-12
PEAMNOpp: 0
GAL1PPpp: 0
NTPP9: 0
NTPP10: 0
NTPP11: 0
H2O2tex: 0
ARGDCpp: 0
URIH: 0
ALLPI: 0
ALLK: 0
ALLULPE: 0
ADEtex: 0
ADNtex: 0
NADPHQR2: 0
NADPHQR3: 0
NADPHQR4: 0
GLBRAN2: 0
ASR: 0
ASO3tex: 0
AGMtex: 0
ALAtex: 0
BALAtex: 0
DALAtex: 0
MANGLYCtex: 0
EX_frulys_e: 0
AMPtex: 0
METOX1s: 0
XTSNH: 0
METOX2s: 0
FRUURt2rpp: 0
FRUURtex: 0
ARBtex: 0
ARGtex: 0
INSH: 0
ASCBtex: 0
FACOAL100t2pp: 0
RIBabcpp: 0
ECAtpp: 0
O16AT: 0
O16GALFT: 0
O16GLCT2: 0
