"abbreviation"	"equation"	"lowbnd"	"uppbnd"	"obj_coef"
"EX_met_L_e"	"met__L_e --> "	0	1000	0
"GTHOr"	"h_c + nadph_c + gthox_c <==> (2) gthrd_c + nadp_c"	-1000	1000	0
"ILETA"	"akg_c + ile__L_c <==> glu__L_c + 3mop_c"	-1000	1000	0
"DHORD5"	"dhor__S_c + mqn8_c --> mql8_c + orot_c"	0	1000	0
"EX_metsox_S_L_e"	"metsox_S__L_e --> "	0	1000	0
"GLYCTO2"	"glyclt_c + q8_c --> glx_c + q8h2_c"	0	1000	0
"VALTA"	"akg_c + val__L_c <==> glu__L_c + 3mob_c"	-1000	1000	0
"GLYCTO3"	"glyclt_c + mqn8_c --> glx_c + mql8_c"	0	1000	0
"IPPMIb"	"2ippm_c + h2o_c <==> 3c3hmp_c"	-1000	1000	0
"GLYCTO4"	"glyclt_c + 2dmmq8_c --> glx_c + 2dmmql8_c"	0	1000	0
"ORPT"	"orot5p_c + ppi_c <==> prpp_c + orot_c"	-1000	1000	0
"RBFSa"	"4r5au_c + db4p_c --> dmlz_c + pi_c + (2) h2o_c"	0	1000	0
"ACHBS"	"h_c + 2obut_c + pyr_c --> 2ahbut_c + co2_c"	0	1000	0
"PFK_3"	"atp_c + s7p_c --> h_c + s17bp_c + adp_c"	0	1000	0
"DHAD2"	"23dhmp_c --> h2o_c + 3mop_c"	0	1000	0
"ACLS"	"h_c + (2) pyr_c --> alac__S_c + co2_c"	0	1000	0
"TRPS2"	"ser__L_c + indole_c --> trp__L_c + h2o_c"	0	1000	0
"PSCVT"	"pep_c + skm5p_c <==> pi_c + 3psme_c"	-1000	1000	0
"G3PD5"	"glyc3p_c + q8_c --> dhap_c + q8h2_c"	0	1000	0
"G1PP"	"g1p_c + h2o_c --> pi_c + glc__D_c"	0	1000	0
"PFL"	"pyr_c + coa_c --> accoa_c + for_c"	0	1000	0
"EX_acgam_e"	"acgam_e --> "	0	1000	0
"ANS"	"chor_c + gln__L_c --> h_c + glu__L_c + anth_c + pyr_c"	0	1000	0
"FRD2"	"fum_c + mql8_c --> succ_c + mqn8_c"	0	1000	0
"FRD3"	"fum_c + 2dmmql8_c --> 2dmmq8_c + succ_c"	0	1000	0
"ANPRT"	"anth_c + prpp_c --> pran_c + ppi_c"	0	1000	0
"POX"	"h2o_c + q8_c + pyr_c --> ac_c + q8h2_c + co2_c"	0	1000	0
"CHORM"	"chor_c --> pphn_c"	0	1000	0
"PTAr"	"accoa_c + pi_c <==> actp_c + coa_c"	-1000	1000	0
"CHORS"	"3psme_c --> pi_c + chor_c"	0	1000	0
"IGPS"	"h_c + 2cpr5p_c --> 3ig3p_c + h2o_c + co2_c"	0	1000	0
"ACKr"	"ac_c + atp_c <==> actp_c + adp_c"	-1000	1000	0
"EX_cellb_e"	"cellb_e --> "	0	1000	0
"EX_crn_e"	"crn_e --> "	0	1000	0
"EX_hxan_e"	"hxan_e --> "	0	1000	0
"EX_ile_L_e"	"ile__L_e --> "	0	1000	0
"EX_chol_e"	"chol_e --> "	0	1000	0
"EX_fe3_e"	"fe3_e <==> "	-1000	1000	0
"LEUTAi"	"4mop_c + glu__L_c --> akg_c + leu__L_c"	0	1000	0
"EX_lac_L_e"	"lac__L_e --> "	0	1000	0
"EX_leu_L_e"	"leu__L_e --> "	0	1000	0
"EX_glcn_e"	"glcn_e --> "	0	1000	0
"EX_no3_e"	"no3_e --> "	0	1000	0
"EX_h_e"	"h_e <==> "	-1000	1000	0
"DMATT"	"ipdp_c + dmpp_c --> grdp_c + ppi_c"	0	1000	0
"EX_orn_e"	"orn_e --> "	0	1000	0
"GRTT"	"grdp_c + ipdp_c --> ppi_c + frdp_c"	0	1000	0
"EX_gln_L_e"	"gln__L_e --> "	0	1000	0
"UPP3S"	"hmbil_c --> uppg3_c + h2o_c"	0	1000	0
"EX_pro_L_e"	"pro__L_e --> "	0	1000	0
"EX_glyc_e"	"glyc_e --> "	0	1000	0
"UPPDC1"	"(4) h_c + uppg3_c --> cpppg3_c + (4) co2_c"	0	1000	0
"EX_man_e"	"man_e --> "	0	1000	0
"TMDPP"	"pi_c + thymd_c <==> 2dr1p_c + thym_c"	-1000	1000	0
"EX_ade_e"	"ade_e --> "	0	1000	0
"EX_mn2_e"	"mn2_e <==> "	-1000	1000	0
"EX_4abut_e"	"4abut_e --> "	0	1000	0
"EX_ac_e"	"ac_e --> "	0	1000	0
"EX_akg_e"	"akg_e --> "	0	1000	0
"EX_ala_L_e"	"ala__L_e --> "	0	1000	0
"EX_arg_L_e"	"arg__L_e --> "	0	1000	0
"EX_asp_L_e"	"asp__L_e --> "	0	1000	0
"EX_pyr_e"	"pyr_e --> "	0	1000	0
"EX_succ_e"	"succ_e --> "	0	1000	0
"EX_thymd_e"	"thymd_e --> "	0	1000	0
"EX_rib_D_e"	"rib__D_e --> "	0	1000	0
"EX_tyr_L_e"	"tyr__L_e --> "	0	1000	0
"EX_cytd_e"	"cytd_e --> "	0	1000	0
"EX_dcyt_e"	"dcyt_e --> "	0	1000	0
"MOAT"	"ckdo_c + lipidA_c --> h_c + cmp_c + kdolipid4_c"	0	1000	0
"EX_fum_e"	"fum_e --> "	0	1000	0
"EX_sbt_D_e"	"sbt__D_e --> "	0	1000	0
"EX_glu_L_e"	"glu__L_e --> "	0	1000	0
"UDCPDPS"	"frdp_c + (8) ipdp_c --> (8) ppi_c + udcpdp_c"	0	1000	0
"ECOAH6"	"3htdcoa_c <==> h2o_c + td2coa_c"	-1000	1000	0
"USHD"	"u23ga_c + h2o_c --> (2) h_c + ump_c + lipidX_c"	0	1000	0
"EX_gua_e"	"gua_e --> "	0	1000	0
"ENO"	"2pg_c <==> pep_c + h2o_c"	-1000	1000	0
"FBA"	"fdp_c <==> dhap_c + g3p_c"	-1000	1000	0
"HCO3E"	"h2o_c + co2_c <==> h_c + hco3_c"	-1000	1000	0
"MGSA"	"dhap_c --> pi_c + mthgxl_c"	0	1000	0
"IMPC"	"imp_c + h2o_c <==> fprica_c"	-1000	1000	0
"IMPD"	"imp_c + nad_c + h2o_c --> h_c + xmp_c + nadh_c"	0	1000	0
"PPS"	"atp_c + h2o_c + pyr_c --> pep_c + (2) h_c + pi_c + amp_c"	0	1000	0
"ECOAH4"	"3hdcoa_c <==> dc2coa_c + h2o_c"	-1000	1000	0
"LPADSS"	"lipidX_c + u23ga_c --> h_c + lipidAds_c + udp_c"	0	1000	0
"GLUTRS"	"atp_c + glu__L_c + trnaglu_c --> glutrna_c + ppi_c + amp_c"	0	1000	0
"TDSK"	"atp_c + lipidAds_c --> h_c + adp_c + lipidA_c"	0	1000	0
"PGI"	"g6p_c <==> f6p_c"	-1000	1000	0
"TMPPP"	"h_c + 2mahmp_c + 4mpetz_c --> ppi_c + thmmp_c"	0	1000	0
"EX_btn_e"	"btn_e --> "	0	1000	0
"PGK"	"3pg_c + atp_c <==> 13dpg_c + adp_c"	-1000	1000	0
"EX_ptrc_e"	"ptrc_e --> "	0	1000	0
"EDA"	"2ddg6p_c --> g3p_c + pyr_c"	0	1000	0
"EX_spmd_e"	"spmd_e --> "	0	1000	0
"EX_thym_e"	"thym_e --> "	0	1000	0
"EX_xtsn_e"	"xtsn_e --> "	0	1000	0
"NTPP1"	"h2o_c + dgtp_c --> h_c + ppi_c + dgmp_c"	0	1000	0
"URIK1"	"atp_c + uri_c --> h_c + ump_c + adp_c"	0	1000	0
"URIK2"	"uri_c + gtp_c --> h_c + ump_c + gdp_c"	0	1000	0
"NTPP2"	"h2o_c + gtp_c --> h_c + ppi_c + gmp_c"	0	1000	0
"PGL"	"h2o_c + 6pgl_c --> h_c + 6pgc_c"	0	1000	0
"NTPTP1"	"h2o_c + dgtp_c --> pppi_c + dgsn_c"	0	1000	0
"NTPTP2"	"h2o_c + gtp_c --> pppi_c + gsn_c"	0	1000	0
"CYTDK1"	"cytd_c + atp_c --> h_c + adp_c + cmp_c"	0	1000	0
"RPE"	"ru5p__D_c <==> xu5p__D_c"	-1000	1000	0
"DHQTi"	"3dhq_c --> 3dhsk_c + h2o_c"	0	1000	0
"IPMD"	"nad_c + 3c2hmp_c --> h_c + nadh_c + 3c4mop_c"	0	1000	0
"AIRC3"	"5aizc_c <==> 5caiz_c"	-1000	1000	0
"TALA"	"g3p_c + s7p_c <==> e4p_c + f6p_c"	-1000	1000	0
"PUNP1"	"pi_c + adn_c <==> r1p_c + ade_c"	-1000	1000	0
"PUNP2"	"pi_c + dad_2_c <==> 2dr1p_c + ade_c"	-1000	1000	0
"PUNP3"	"pi_c + gsn_c <==> r1p_c + gua_c"	-1000	1000	0
"ADSL2r"	"25aics_c <==> aicar_c + fum_c"	-1000	1000	0
"TKT1"	"r5p_c + xu5p__D_c <==> g3p_c + s7p_c"	-1000	1000	0
"EX_fe2_e"	"fe2_e <==> "	-1000	1000	0
"PUNP5"	"pi_c + ins_c <==> r1p_c + hxan_c"	-1000	1000	0
"PUNP6"	"pi_c + din_c <==> 2dr1p_c + hxan_c"	-1000	1000	0
"PUNP7"	"xtsn_c + pi_c <==> xan_c + r1p_c"	-1000	1000	0
"G6PDA"	"h2o_c + gam6p_c --> nh4_c + f6p_c"	0	1000	0
"RNDR1"	"adp_c + trdrd_c --> dadp_c + trdox_c + h2o_c"	0	1000	0
"ALCD2x"	"nad_c + etoh_c <==> h_c + nadh_c + acald_c"	-1000	1000	0
"RNDR3"	"trdrd_c + cdp_c --> trdox_c + h2o_c + dcdp_c"	0	1000	0
"RNDR4"	"trdrd_c + udp_c --> dudp_c + trdox_c + h2o_c"	0	1000	0
"ALDD2y"	"nadp_c + h2o_c + acald_c --> ac_c + (2) h_c + nadph_c"	0	1000	0
"TMDS"	"mlthf_c + dump_c --> dtmp_c + dhf_c"	0	1000	0
"RMI"	"rmn_c <==> rml_c"	-1000	1000	0
"TMDK1"	"thymd_c + atp_c --> h_c + adp_c + dtmp_c"	0	1000	0
"LYSAM"	"lys__L_c <==> 36dahx_c"	-1000	1000	0
"PPCDC"	"h_c + 4ppcys_c --> pan4p_c + co2_c"	0	1000	0
"FTHFD"	"10fthf_c + h2o_c --> h_c + thf_c + for_c"	0	1000	0
"EX_glc_D_e"	"glc__D_e <==> "	-10	1000	0
"DHAD1"	"23dhmb_c --> 3mob_c + h2o_c"	0	1000	0
"IPPMIa"	"3c2hmp_c <==> 2ippm_c + h2o_c"	-1000	1000	0
"EX_alltn_e"	"alltn_e --> "	0	1000	0
"G3PD7"	"glyc3p_c + 2dmmq8_c --> dhap_c + 2dmmql8_c"	0	1000	0
"EDD"	"6pgc_c --> h2o_c + 2ddg6p_c"	0	1000	0
"EX_ura_e"	"ura_e --> "	0	1000	0
"NADH9"	"h_c + 2dmmq8_c + nadh_c --> nad_c + 2dmmql8_c"	0	1000	0
"EX_val_L_e"	"val__L_e --> "	0	1000	0
"NADH10"	"h_c + mqn8_c + nadh_c --> nad_c + mql8_c"	0	1000	0
"ADK4"	"itp_c + amp_c <==> adp_c + idp_c"	-1000	1000	0
"INSK"	"atp_c + ins_c --> h_c + imp_c + adp_c"	0	1000	0
"MDH"	"nad_c + mal__L_c <==> h_c + oaa_c + nadh_c"	-1000	1000	0
"ABTA"	"akg_c + 4abut_c --> glu__L_c + sucsal_c"	0	1000	0
"EX_xan_e"	"xan_e --> "	0	1000	0
"FUM"	"fum_c + h2o_c <==> mal__L_c"	-1000	1000	0
"FMNAT"	"h_c + atp_c + fmn_c --> ppi_c + fad_c"	0	1000	0
"PYDXNK"	"pydxn_c + atp_c --> h_c + adp_c + pdx5p_c"	0	1000	0
"PYAM5PO"	"o2_c + pyam5p_c + h2o_c --> pydx5p_c + nh4_c + h2o2_c"	0	1000	0
"SSALx"	"nad_c + h2o_c + sucsal_c --> (2) h_c + succ_c + nadh_c"	0	1000	0
"ASPT"	"asp__L_c --> nh4_c + fum_c"	0	1000	0
"OHPBAT"	"ohpb_c + glu__L_c <==> akg_c + phthr_c"	-1000	1000	0
"SERD_L"	"ser__L_c --> nh4_c + pyr_c"	0	1000	0
"EX_dgsn_e"	"dgsn_e --> "	0	1000	0
"NADDP"	"nad_c + h2o_c --> (2) h_c + nmn_c + amp_c"	0	1000	0
"EX_arab_L_e"	"arab__L_e --> "	0	1000	0
"EX_fru_e"	"fru_e --> "	0	1000	0
"THRD"	"thr__L_c + nad_c --> h_c + 2aobut_c + nadh_c"	0	1000	0
"HEX4"	"atp_c + man_c --> h_c + adp_c + man6p_c"	0	1000	0
"EX_gal_e"	"gal_e --> "	0	1000	0
"NMNAT"	"h_c + atp_c + nmn_c --> nad_c + ppi_c"	0	1000	0
"EX_xyl_D_e"	"xyl__D_e --> "	0	1000	0
"KARA1"	"23dhmb_c + nadp_c <==> h_c + alac__S_c + nadph_c"	-1000	1000	0
"HMPK1"	"atp_c + 4ahmmp_c --> h_c + 4ampm_c + adp_c"	0	1000	0
"KARA2"	"h_c + 2ahbut_c + nadph_c <==> nadp_c + 23dhmp_c"	-1000	1000	0
"EX_duri_e"	"duri_e --> "	0	1000	0
"EX_for_e"	"for_e --> "	0	1000	0
"EX_gly_e"	"gly_e --> "	0	1000	0
"EX_h2_e"	"h2_e --> "	0	1000	0
"EX_lys_L_e"	"lys__L_e --> "	0	1000	0
"ACCOAC"	"accoa_c + atp_c + hco3_c --> h_c + adp_c + pi_c + malcoa_c"	0	1000	0
"NADK"	"nad_c + atp_c --> h_c + adp_c + nadp_c"	0	1000	0
"GLXCL"	"h_c + (2) glx_c --> 2h3oppan_c + co2_c"	0	1000	0
"ICHORS_copy2"	"chor_c <==> ichor_c"	-1000	1000	0
"SUCBZS"	"2shchc_c --> sucbz_c + h2o_c"	0	1000	0
"DHBD"	"nad_c + 23ddhb_c <==> h_c + 23dhb_c + nadh_c"	-1000	1000	0
"ICHORT"	"ichor_c + h2o_c --> pyr_c + 23ddhb_c"	0	1000	0
"EX_ser_L_e"	"ser__L_e --> "	0	1000	0
"EX_thm_e"	"thm_e --> "	0	1000	0
"EX_trp_L_e"	"trp__L_e --> "	0	1000	0
"GLUTRR"	"h_c + glutrna_c + nadph_c --> glu1sa_c + nadp_c + trnaglu_c"	0	1000	0
"GLCS1"	"adpglc_c --> h_c + adp_c + glycogen_c"	0	1000	0
"GLCP"	"pi_c + glycogen_c --> g1p_c"	0	1000	0
"EX_din_e"	"din_e --> "	0	1000	0
"RBK_L1"	"atp_c + rbl__L_c --> h_c + adp_c + ru5p__L_c"	0	1000	0
"RBP4E"	"ru5p__L_c <==> xu5p__D_c"	-1000	1000	0
"TARTD"	"tartr__L_c --> h2o_c + oaa_c"	0	1000	0
"NTD2"	"ump_c + h2o_c --> pi_c + uri_c"	0	1000	0
"GLCRAL"	"5dh4dglc_c --> 2h3oppan_c + pyr_c"	0	1000	0
"NTD4"	"h2o_c + cmp_c --> cytd_c + pi_c"	0	1000	0
"NTD5"	"dtmp_c + h2o_c --> pi_c + thymd_c"	0	1000	0
"EX_fmn_e"	"fmn_e --> "	0	1000	0
"EX_gthox_e"	"gthox_e --> "	0	1000	0
"KAS14"	"h_c + acACP_c + malACP_c --> actACP_c + co2_c + ACP_c"	0	1000	0
"HEMEOS"	"frdp_c + h2o_c + pheme_c --> ppi_c + hemeO_c"	0	1000	0
"ADMDC"	"h_c + amet_c --> ametam_c + co2_c"	0	1000	0
"AGMT"	"h2o_c + agm_c --> urea_c + ptrc_c"	0	1000	0
"NTD6"	"h2o_c + damp_c --> pi_c + dad_2_c"	0	1000	0
"LGTHL"	"gthrd_c + mthgxl_c --> lgt__S_c"	0	1000	0
"PYDXPP"	"pydx5p_c + h2o_c --> pi_c + pydx_c"	0	1000	0
"PDXPP"	"pdx5p_c + h2o_c --> pydxn_c + pi_c"	0	1000	0
"ARGDC"	"h_c + arg__L_c --> agm_c + co2_c"	0	1000	0
"HACD6"	"h_c + 3otdcoa_c + nadh_c <==> nad_c + 3htdcoa_c"	-1000	1000	0
"ECOAH1"	"3hbcoa_c <==> h2o_c + b2coa_c"	-1000	1000	0
"ECOAH2"	"3hhcoa_c <==> hx2coa_c + h2o_c"	-1000	1000	0
"ARGSS"	"citr__L_c + asp__L_c + atp_c --> h_c + argsuc_c + ppi_c + amp_c"	0	1000	0
"AGPR"	"acg5sa_c + pi_c + nadp_c <==> h_c + nadph_c + acg5p_c"	-1000	1000	0
"SPMS"	"ametam_c + ptrc_c --> h_c + 5mta_c + spmd_c"	0	1000	0
"G1SAT"	"glu1sa_c <==> 5aop_c"	-1000	1000	0
"KDOCT2"	"ctp_c + kdo_c --> ppi_c + ckdo_c"	0	1000	0
"ECOAH3"	"3hocoa_c <==> h2o_c + oc2coa_c"	-1000	1000	0
"UGLT"	"gal1p_c + udpg_c <==> udpgal_c + g1p_c"	-1000	1000	0
"EDTXS1"	"ddcaACP_c + kdo2lipid4_c --> kdo2lipid4L_c + ACP_c"	0	1000	0
"DXPS"	"h_c + g3p_c + pyr_c --> dxyl5p_c + co2_c"	0	1000	0
"OAADC"	"h_c + oaa_c --> pyr_c + co2_c"	0	1000	0
"MNNH"	"mana_c --> 2ddglcn_c + h2o_c"	0	1000	0
"CDPMEK"	"4c2me_c + atp_c --> h_c + 2p4c2me_c + adp_c"	0	1000	0
"EDTXS2"	"kdo2lipid4L_c + myrsACP_c --> lipa_c + ACP_c"	0	1000	0
"ALTRH"	"altrn_c --> 2ddglcn_c + h2o_c"	0	1000	0
"MECDPS"	"2p4c2me_c --> 2mecdp_c + cmp_c"	0	1000	0
"GUI1"	"glcur_c <==> fruur_c"	-1000	1000	0
"EDTXS3"	"hdeACP_c + kdo2lipid4_c --> kdo2lipid4p_c + ACP_c"	0	1000	0
"PGAMT"	"gam1p_c <==> gam6p_c"	-1000	1000	0
"DDGLK"	"2ddglcn_c + atp_c --> h_c + adp_c + 2ddg6p_c"	0	1000	0
"EDTXS4"	"kdo2lipid4p_c + myrsACP_c --> lipa_cold_c + ACP_c"	0	1000	0
"XYLI2"	"glc__D_c <==> fru_c"	-1000	1000	0
"PMANM"	"man1p_c <==> man6p_c"	-1000	1000	0
"ICL"	"icit_c --> glx_c + succ_c"	0	1000	0
"UAGDP"	"h_c + acgam1p_c + utp_c --> ppi_c + uacgam_c"	0	1000	0
"UAGCVT"	"pep_c + uacgam_c --> pi_c + uaccg_c"	0	1000	0
"GLUR"	"glu__D_c <==> glu__L_c"	-1000	1000	0
"EX_tmao_e"	"tmao_e --> "	0	1000	0
"UAG2E"	"uacgam_c <==> uacmam_c"	-1000	1000	0
"EX_acald_e"	"acald_e --> "	0	1000	0
"GLYCL"	"nad_c + thf_c + gly_c --> nh4_c + mlthf_c + nadh_c + co2_c"	0	1000	0
"CMPN"	"h2o_c + cmp_c --> r5p_c + csn_c"	0	1000	0
"NNDPR"	"(2) h_c + quln_c + prpp_c --> ppi_c + nicrnt_c + co2_c"	0	1000	0
"HCYSMT"	"amet_c + hcys__L_c --> h_c + met__L_c + ahcys_c"	0	1000	0
"EX_melib_e"	"melib_e --> "	0	1000	0
"MACPD"	"h_c + malACP_c --> acACP_c + co2_c"	0	1000	0
"DMQMT"	"amet_c + 2omhmbl_c --> h_c + q8h2_c + ahcys_c"	0	1000	0
"UDPG4E"	"udpg_c <==> udpgal_c"	-1000	1000	0
"LACZ"	"lcts_c + h2o_c --> glc__D_c + gal_c"	0	1000	0
"TRE6PH"	"h2o_c + tre6p_c --> glc__D_c + g6p_c"	0	1000	0
"XYLI1"	"xyl__D_c <==> xylu__D_c"	-1000	1000	0
"PPC"	"pep_c + h2o_c + co2_c --> h_c + pi_c + oaa_c"	0	1000	0
"ICHORS_copy1"	"chor_c --> ichor_c"	0	1000	0
"EX_sucr_e"	"sucr_e --> "	0	1000	0
"ALDD4"	"btal_c + nad_c + h2o_c --> (2) h_c + but_c + nadh_c"	0	1000	0
"HACD4"	"h_c + 3odcoa_c + nadh_c <==> nad_c + 3hdcoa_c"	-1000	1000	0
"G3PT"	"glyc3p_c + h2o_c --> pi_c + glyc_c"	0	1000	0
"CINNDO"	"h_c + o2_c + cinnm_c + nadh_c --> nad_c + cenchddd_c"	0	1000	0
"DHPPD"	"nad_c + cechddd_c --> h_c + dhpppn_c + nadh_c"	0	1000	0
"EX_tre_e"	"tre_e --> "	0	1000	0
"EX_zn2_e"	"zn2_e <==> "	-1000	1000	0
"HACD5"	"h_c + 3oddcoa_c + nadh_c <==> nad_c + 3hddcoa_c"	-1000	1000	0
"DHCIND"	"nad_c + cenchddd_c --> h_c + dhcinnm_c + nadh_c"	0	1000	0
"HACD7"	"3ohdcoa_c + h_c + nadh_c <==> nad_c + 3hhdcoa_c"	-1000	1000	0
"CITL"	"cit_c --> ac_c + oaa_c"	0	1000	0
"GOFUCR"	"h_c + gdpofuc_c + nadph_c --> nadp_c + gdpfuc_c"	0	1000	0
"PYDXK"	"atp_c + pydx_c --> pydx5p_c + h_c + adp_c"	0	1000	0
"DNMPPA"	"dhpmp_c + h2o_c --> pi_c + dhnpt_c"	0	1000	0
"HPPK2"	"atp_c + 6hmhpt_c --> h_c + 6hmhptpp_c + amp_c"	0	1000	0
"PTPATi"	"h_c + pan4p_c + atp_c --> ppi_c + dpcoa_c"	0	1000	0
"HEX7"	"fru_c + atp_c --> h_c + adp_c + f6p_c"	0	1000	0
"DXPRIi"	"h_c + dxyl5p_c + nadph_c --> 2me4p_c + nadp_c"	0	1000	0
"GTPCII2"	"(3) h2o_c + gtp_c --> (2) h_c + ppi_c + for_c + 25drapp_c"	0	1000	0
"URIC"	"o2_c + (2) h2o_c + urate_c --> h2o2_c + co2_c + alltn_c"	0	1000	0
"SADT2"	"atp_c + h2o_c + so4_c + gtp_c --> pi_c + gdp_c + ppi_c + aps_c"	0	1000	0
"OPHBDC"	"h_c + 3ophb_c --> 2oph_c + co2_c"	0	1000	0
"AACPS1"	"atp_c + ttdca_c + ACP_c --> ppi_c + amp_c + myrsACP_c"	0	1000	0
"OHPHM"	"amet_c + 2ohph_c --> h_c + ahcys_c + 2omph_c"	0	1000	0
"GHMT2r"	"ser__L_c + thf_c <==> mlthf_c + h2o_c + gly_c"	-1000	1000	0
"DHORD2"	"dhor__S_c + q8_c --> q8h2_c + orot_c"	0	1000	0
"LCARS"	"h_c + lald__L_c + nadh_c <==> nad_c + 12ppd__S_c"	-1000	1000	0
"ALCD19"	"glyald_c + h_c + nadh_c <==> nad_c + glyc_c"	-1000	1000	0
"RMPA"	"rml1p_c <==> dhap_c + lald__L_c"	-1000	1000	0
"SBTPD"	"nad_c + sbt6p_c <==> h_c + f6p_c + nadh_c"	-1000	1000	0
"PFK_2"	"tag6p__D_c + atp_c --> h_c + adp_c + tagdp__D_c"	0	1000	0
"GLTPD"	"nad_c + galt1p_c <==> h_c + tag6p__D_c + nadh_c"	-1000	1000	0
"EX_hdcea_e"	"hdcea_e --> "	0	1000	0
"ACACCT"	"accoa_c + acac_c --> ac_c + aacoa_c"	0	1000	0
"SDPDS"	"sl26da_c + h2o_c --> 26dap_LL_c + succ_c"	0	1000	0
"BUTCT"	"accoa_c + but_c --> ac_c + btcoa_c"	0	1000	0
"TGBPA"	"tagdp__D_c <==> dhap_c + g3p_c"	-1000	1000	0
"MANAO"	"nad_c + mana_c <==> h_c + fruur_c + nadh_c"	-1000	1000	0
"TAGURr"	"nad_c + altrn_c <==> h_c + tagur_c + nadh_c"	-1000	1000	0
